v2ProductName,sessions,viewers,product_view_rate,product_desirability
Google Women's Zip Hoodie Grey,10391,126,1.21,low desirability
16 oz. Hot/Cold Tumbler,4611,56,1.21,low desirability
Gunmetal Roller Ball Pen,11374,136,1.2,low desirability
Google Infant Short Sleeve Tee Cornflower Blue,3094,37,1.2,low desirability
Google Bib Red,28559,343,1.2,low desirability
Google Men's Vintage Badge Tee White,53522,639,1.19,low desirability
Collapsible Pet Bowl,4030,48,1.19,low desirability
Google Men's Performance 1/4 Zip Pullover Heather/Black,32421,384,1.18,low desirability
Google Ballpoint Pen Black,36870,435,1.18,low desirability
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,12948,152,1.17,low desirability
Google Snapback Hat Black,71098,834,1.17,low desirability
YouTube Notebook and Pen Set,46076,533,1.16,low desirability
YouTube Men's Short Sleeve Hero Tee Charcoal,129312,1499,1.16,low desirability
YouTube Men's Eco-Jersey Henley,10280,119,1.16,low desirability
Google Women's Short Sleeve Hero Tee Black,72781,844,1.16,low desirability
Google Luggage Tag,27035,313,1.16,low desirability
YouTube Onesie Heather,42877,494,1.15,low desirability
Speed Zone Air Mesh Tote,3580,41,1.15,low desirability
Google Men's Vintage Badge Tee Green,28688,329,1.15,low desirability
Android 24 oz Contigo Bottle,45637,524,1.15,low desirability
Stadium Cups-Sets of 4,8545,97,1.14,low desirability
Google Women's Short Sleeve V-Neck Tee Lavender,15488,177,1.14,low desirability
Android 17oz Stainless Steel Sport Bottle,68743,784,1.14,low desirability
Android 25 oz Green Apple Stainless Steel Bottle,3889,44,1.13,low desirability
Google Toddler Tee Fruit Games Cherries,3756,42,1.12,low desirability
Rainbow Stylus Pen,13298,147,1.11,low desirability
Google Women's Shell Jacket Blue/Black,16287,181,1.11,low desirability
Android Onesie Baby Blue,12732,141,1.11,low desirability
SPF-15 Slim & Slender Lip Balm,44559,491,1.1,low desirability
Retractable Ballpoint Pen Red,36516,400,1.1,low desirability
Waze Mood Original Window Decal,15465,169,1.09,low desirability
Google Men's Short Sleeve Performance Badge Tee Pewter,19741,215,1.09,low desirability
Waze Men's Typography Short Sleeve Tee,1308,14,1.07,low desirability
Google Women's Insulated Thermal Vest Navy,15491,165,1.07,low desirability
Google Men's Performance Badge Tee Gunmetal,656,7,1.07,low desirability
Google Toddler Sports T-shirt Red,3695,39,1.06,low desirability
Android BTTF Moonshot Graphic Tee,11885,126,1.06,low desirability
Metal Texture Roller Pen,36672,385,1.05,low desirability
Google Men's Convertible Vest-Jacket Pewter,48890,514,1.05,low desirability
Google Vintage Henley Grey/Black,34984,364,1.04,low desirability
Android Wool Heather Cap Heather/Black,58026,603,1.04,low desirability
YouTube Infant Short Sleeve Tee Red,6200,63,1.02,low desirability
YouTube Men's Long Sleeve Pullover Badge Tee Heather,58588,592,1.01,low desirability
Google Women's Short Sleeve Hero Tee Sky Blue,46240,469,1.01,low desirability
"7"" Dog Frisbee",442,400,90.5,high desirability
